REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",MARCH,% CHANGE,APRIL -MARCH,% CHANGE,MARCH,% CHANGE,APRIL -MARCH,% CHANGE,MARCH,% CHANGE,APRIL -MARCH,% CHANGE,,,,,,
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.47,4.21,4.05,4.25,12.44,10.99,11.23,10.62,10.66,9.40,9.63,9.07
WESTERN,25.71,25.75,25.98,25.91,27.33,29.15,28.11,30.20,26.97,28.35,27.64,29.15
SOUTHERN,38.20,39.45,40.66,41.34,26.60,26.82,28.15,27.23,29.20,29.78,30.94,30.68
NORTHERN,31.58,30.55,29.25,28.44,30.11,29.93,29.13,28.80,30.44,30.08,29.16,28.71
NORTH EAST,0.03,0.04,0.05,0.06,3.51,3.11,3.38,3.15,2.73,2.39,2.63,2.39
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,3.12,2.73,3.07,2.93,11.45,10.86,11.42,11.40,5.96,5.69,6.22,6.21
WESTERN,32.82,31.83,31.27,31.47,31.29,30.34,30.14,29.30,32.30,31.29,30.84,30.63
SOUTHERN,34.01,36.50,35.20,35.63,25.66,26.39,26.31,26.21,31.17,32.82,31.85,31.98
NORTHERN,30.05,28.94,30.47,29.97,28.97,29.92,29.42,30.54,29.68,29.30,30.07,30.19
NORTH EAST,0.00,0.00,0.00,0.00,2.62,2.49,2.71,2.55,0.89,0.91,1.02,0.99
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
