REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",JULY,% CHANGE,APRIL -JULY,% CHANGE,JULY,% CHANGE,APRIL -JULY,% CHANGE,JULY,% CHANGE,APRIL -JULY,% CHANGE,,,,,,
WESTERN,24.22,25.45,24.62,25.62,26.51,27.06,26.17,26.98,26.07,26.74,25.87,26.71
SOUTHERN,41.55,41.22,41.28,41.29,29.80,31.40,29.60,31.19,32.05,33.32,31.84,33.17
NORTHERN,28.68,28.56,28.55,28.25,28.26,27.72,28.30,27.87,28.34,27.88,28.35,27.95
NORTH EAST,0.18,0.11,0.12,0.11,3.92,3.70,4.06,3.75,3.20,3.00,3.30,3.04
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.03,3.61,4.12,3.83,11.54,10.40,12.15,10.47,9.89,8.88,10.42,8.97
WESTERN,24.55,25.58,25.31,25.88,27.03,28.29,27.07,28.48,26.49,27.68,26.69,27.89
SOUTHERN,42.00,42.89,41.50,42.50,28.50,28.72,27.87,28.09,31.46,31.89,30.81,31.36
NORTHERN,29.29,27.87,29.00,27.75,29.27,29.40,29.39,29.82,29.28,29.06,29.31,29.35
NORTH EAST,0.12,0.05,0.06,0.04,3.66,3.20,3.53,3.13,2.88,2.49,2.78,2.43
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.93,3.05,2.96,2.90,11.02,11.46,11.53,11.78,5.90,6.36,6.02,6.24
WESTERN,30.40,28.74,31.39,30.06,31.02,29.83,30.89,29.87,30.63,29.17,31.21,29.99
SOUTHERN,36.76,37.77,34.54,36.12,27.13,26.97,26.37,26.49,33.22,33.52,31.62,32.50
NORTHERN,29.91,30.45,31.11,30.92,28.49,29.05,28.42,29.37,29.38,29.90,30.15,30.34
NORTH EAST,0.00,0.00,0.00,0.00,2.34,2.68,2.80,2.49,0.86,1.06,1.00,0.93
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
