REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",FEBRUARY,% CHANGE,APRIL -FEBRUARY,% CHANGE,FEBRUARY,% CHANGE,APRIL -FEBRUARY,% CHANGE,FEBRUARY,% CHANGE,APRIL -FEBRUARY,% CHANGE,,,,,,
NORTH EAST,0.10,0.18,0.13,0.14,4.31,3.88,4.09,3.95,3.50,3.12,3.32,3.15
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.51,4.26,4.01,4.26,11.97,10.47,11.12,10.59,10.33,9.03,9.53,9.04
WESTERN,26.74,26.84,26.01,25.92,27.97,30.16,28.19,30.30,27.70,29.39,27.70,29.23
SOUTHERN,37.52,39.10,40.89,41.53,27.40,27.09,28.29,27.28,29.62,29.88,31.11,30.77
NORTHERN,31.20,29.75,29.03,28.23,29.25,29.20,29.03,28.69,29.68,29.33,29.03,28.58
NORTH EAST,0.03,0.06,0.05,0.06,3.41,3.07,3.37,3.15,2.67,2.37,2.62,2.39
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.98,2.47,3.06,2.95,11.15,11.27,11.42,11.45,6.08,5.87,6.25,6.26
WESTERN,32.30,32.57,31.09,31.43,32.52,29.21,30.02,29.21,32.39,31.27,30.68,30.56
SOUTHERN,34.24,35.59,35.33,35.54,25.23,26.27,26.37,26.19,30.82,31.98,31.92,31.90
NORTHERN,30.48,29.38,30.51,30.08,28.49,30.71,29.46,30.60,29.73,29.89,30.11,30.28
NORTH EAST,0.00,0.00,0.00,0.00,2.61,2.53,2.72,2.55,0.99,0.98,1.04,0.99
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
