REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",AUGUST,% CHANGE,APRIL -AUGUST,% CHANGE,AUGUST,% CHANGE,APRIL -AUGUST,% CHANGE,AUGUST,% CHANGE,APRIL -AUGUST,% CHANGE,,,,,,
NORTH EAST,8225,5981,37.5,25720,14027,83.4,594984,445514,33.6,3081948,2160077,42.7,603209,451495,33.6,3107668,2174104,42.9
TOTAL,4891903,4534167,7.9,24044627,22111905,8.7,16520004,13386339,23.4,81917846,67054797,22.2,21411907,17920506,19.5,105962473,89166702,18.8
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,5194,4485,15.8,22623,20660,9.5,10567,9749,8.4,51912,49036,5.9,15761,14234,10.7,74535,69696,6.9
WESTERN,44519,42448,4.9,225280,217117,3.8,27486,25687,7.0,135609,126968,6.8,72005,68135,5.7,360889,344085,4.9
SOUTHERN,55072,50299,9.5,272254,246597,10.4,25649,23042,11.3,121558,114096,6.5,80721,73341,10.1,393812,360693,9.2
NORTHERN,45349,42108,7.7,231299,211098,9.6,27475,26080,5.3,133801,129402,3.4,72824,68188,6.8,365100,340500,7.2
NORTH EAST,0,1,-100.0,2,3,-33.3,2924,2108,38.7,13244,10716,23.6,2924,2109,38.6,13246,10719,23.6
TOTAL,150134,139341,7.7,751458,695475,8.0,94101,86666,8.6,456124,430218,6.0,244235,226007,8.1,1207582,1125693,7.3
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",AUGUST,APRIL -AUGUST,AUGUST,APRIL -AUGUST,AUGUST,APRIL -AUGUST,,,,,,
"",2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.88,5.60,4.68,5.68,9.65,10.13,9.59,10.54,8.71,9.19,8.63,9.53
WESTERN,24.75,24.46,25.45,25.16,27.53,29.58,27.16,29.29,26.98,28.52,26.83,28.43
SOUTHERN,41.25,42.70,41.28,42.54,31.20,29.97,31.13,29.38,33.17,32.61,33.12,32.11
NORTHERN,28.86,27.03,28.37,26.48,27.23,26.46,27.74,26.76,27.55,26.58,27.87,26.70
NORTH EAST,0.26,0.21,0.22,0.15,4.39,3.86,4.37,4.03,3.58,3.10,3.56,3.22
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,3.83,4.35,3.79,4.20,9.56,9.82,9.75,10.48,8.26,8.44,8.40,8.93
WESTERN,24.72,24.14,25.64,25.47,28.98,30.26,28.62,29.98,28.01,28.71,27.95,28.86
SOUTHERN,42.51,43.51,42.51,42.93,29.03,28.36,28.25,27.55,32.11,32.19,31.48,31.37
NORTHERN,28.77,27.87,27.96,27.34,28.82,28.23,29.62,28.76,28.81,28.14,29.24,28.41
NORTH EAST,0.17,0.13,0.11,0.06,3.60,3.33,3.76,3.22,2.82,2.52,2.93,2.44
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,3.46,3.22,3.01,2.97,11.23,11.25,11.38,11.40,6.45,6.30,6.17,6.19
WESTERN,29.65,30.46,29.98,31.22,29.21,29.64,29.73,29.51,29.48,30.15,29.89,30.57
SOUTHERN,36.68,36.10,36.23,35.46,27.26,26.59,26.65,26.52,33.05,32.45,32.61,32.04
NORTHERN,30.21,30.22,30.78,30.35,29.20,30.09,29.33,30.08,29.82,30.17,30.23,30.25
NORTH EAST,0.00,0.00,0.00,0.00,3.11,2.43,2.90,2.49,1.20,0.93,1.10,0.95
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
