REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",OCTOBER,% CHANGE,APRIL - OCTOBER,% CHANGE,OCTOBER,% CHANGE,APRIL - OCTOBER,% CHANGE,OCTOBER,% CHANGE,APRIL - OCTOBER,% CHANGE,,,,,,
NORTH EAST,4356,5993,-27.3,36955,21634,70.8,717354,453911,58.0,4429689,3007117,47.3,721710,459904,56.9,4466644,3028751,47.5
TOTAL,4682680,4359015,7.4,33402641,30658070,9.0,17148058,13873135,23.6,115295659,94031720,22.6,21830738,18232150,19.7,148698300,124689790,19.3
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,4503,4149,8.5,32117,29416,9.2,11396,10693,6.6,74063,69622,6.4,15899,14842,7.1,106180,99038,7.2
WESTERN,50814,43372,17.2,320415,303168,5.7,30417,28293,7.5,193900,179755,7.9,81231,71665,13.3,514315,482923,6.5
SOUTHERN,56194,50498,11.3,381988,346363,10.3,29804,25576,16.5,177006,162095,9.2,85998,76074,13.0,558994,508458,9.9
NORTHERN,48126,40083,20.1,325231,291468,11.6,32807,30288,8.3,194776,185925,4.8,80933,70371,15.0,520007,477393,8.9
NORTH EAST,0,1,-100.0,2,4,-50.0,3213,2511,28.0,19689,15769,24.9,3213,2512,27.9,19691,15773,24.8
TOTAL,159637,138103,15.6,1059753,970419,9.2,107637,97361,10.6,659434,613166,7.5,267274,235464,13.5,1719187,1583585,8.6
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",OCTOBER,APRIL - OCTOBER,OCTOBER,APRIL - OCTOBER,OCTOBER,APRIL - OCTOBER,,,,,,
"",2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.99,5.94,4.73,5.73,10.55,10.06,9.75,10.43,9.47,9.18,8.77,9.45
WESTERN,25.33,24.27,25.35,24.97,26.38,29.16,27.05,29.30,26.18,28.12,26.72,28.39
SOUTHERN,40.99,41.15,41.22,42.42,31.22,30.02,31.15,29.55,33.11,32.40,33.12,32.24
NORTHERN,28.46,28.44,28.47,26.74,27.02,26.70,27.60,26.72,27.30,27.08,27.77,26.72
NORTH EAST,0.23,0.19,0.23,0.15,4.83,4.05,4.45,4.01,3.94,3.22,3.62,3.20
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.40,4.90,3.88,4.32,11.25,10.29,10.00,10.38,9.78,9.00,8.62,8.89
WESTERN,25.05,24.39,25.44,25.22,27.03,29.81,28.38,30.09,26.61,28.52,27.72,28.89
SOUTHERN,40.57,41.22,42.16,42.66,28.64,27.84,28.34,27.59,31.20,31.04,31.44,31.29
NORTHERN,29.88,29.36,28.41,27.73,28.89,28.78,29.44,28.75,29.10,28.92,29.21,28.50
NORTH EAST,0.09,0.14,0.11,0.07,4.18,3.27,3.84,3.20,3.31,2.52,3.00,2.43
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.82,3.00,3.03,3.03,10.59,10.98,11.23,11.35,5.95,6.30,6.18,6.25
WESTERN,31.83,31.41,30.23,31.24,28.26,29.06,29.40,29.32,30.39,30.44,29.92,30.50
SOUTHERN,35.20,36.57,36.05,35.69,27.69,26.27,26.84,26.44,32.18,32.31,32.52,32.11
NORTHERN,30.15,29.02,30.69,30.04,30.48,31.11,29.54,30.32,30.28,29.89,30.25,30.15
NORTH EAST,0.00,0.00,0.00,0.00,2.99,2.58,2.99,2.57,1.20,1.07,1.15,1.00
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
